128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,5,128,128,128,128,128,128,128,128,128
128,123,124,63,128,63,63,60,63,125,123,128,119,97,121,102,97,114,101,114,115,128,5,128,112,111,111,114,123,123,123,128
128,63,63,63,60,63,63,128,63,63,63,128,63,63,63,63,63,63,63,63,63,128,5,128,123,123,104,111,117,115,101,128
128,123,124,63,128,63,63,128,63,125,123,128,123,123,123,105,110,110,123,123,123,128,5,128,5,5,5,5,5,5,5,128
128,128,128,128,128,63,63,128,63,125,123,128,6,63,63,63,63,63,63,63,63,128,5,128,124,5,5,126,5,5,125,128
128,123,124,63,128,63,63,128,128,128,128,128,126,63,63,63,63,63,126,63,126,128,5,128,5,5,5,5,5,5,5,128
128,63,63,63,60,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,126,128,56,128,124,5,5,126,5,5,125,128
128,126,63,63,128,63,63,63,63,63,63,63,63,63,63,63,63,63,126,126,6,128,6,128,5,5,5,5,5,5,5,128
128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,63,63,63,128,128,128,128,6,128,124,5,5,126,5,5,125,128
5,8,8,8,8,8,8,8,8,8,8,8,6,6,5,63,63,63,5,6,6,6,6,128,5,5,5,5,5,5,5,128
8,8,8,8,8,8,56,8,8,8,6,6,6,5,5,63,63,63,5,5,6,6,4,128,128,128,5,5,5,128,128,128
8,8,8,8,8,8,8,8,8,8,6,6,6,5,5,63,63,63,5,5,5,6,4,4,4,4,5,5,5,4,4,56
5,8,56,8,8,8,8,8,8,6,6,6,5,5,6,63,63,63,6,5,5,6,6,4,4,5,63,4,63,4,4,4
5,5,8,8,8,8,8,6,6,6,6,5,5,6,6,63,63,63,6,6,5,5,6,6,5,63,63,5,63,6,4,4
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,4,63,6,6,4,4
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,5,63,6,6,4,4,8
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,5,6,4,4,8,8
5,5,8,8,8,5,5,5,5,5,5,5,5,6,6,63,63,63,6,6,5,5,5,5,5,5,5,6,6,8,8,56
5,8,8,8,8,8,8,5,5,5,5,5,5,5,6,63,63,63,6,5,5,5,5,5,5,5,5,5,6,6,6,6
8,8,8,8,56,8,8,8,5,5,5,5,5,5,5,63,63,63,5,5,5,5,5,5,5,5,5,5,6,6,6,6
8,8,8,8,8,8,8,8,5,5,5,5,5,5,5,63,63,63,5,5,5,5,5,5,5,5,5,5,6,6,6,8
8,8,8,8,8,8,8,8,8,5,5,5,5,6,3,63,63,63,3,6,5,5,5,5,5,5,5,6,6,6,8,8
8,8,56,8,8,8,8,8,8,5,5,5,6,6,3,63,63,63,3,6,6,5,5,5,5,5,5,6,6,6,8,8
8,8,8,8,8,8,8,8,8,56,5,128,128,128,128,63,63,63,128,128,128,128,6,6,5,5,6,6,6,8,8,8
5,8,8,8,8,8,8,8,8,8,56,128,190,63,63,63,63,63,63,63,190,128,6,6,6,6,6,6,6,8,8,56
5,8,8,8,8,8,8,8,8,8,8,128,190,63,63,63,63,63,63,63,190,128,128,128,128,128,128,128,128,128,8,5
5,8,8,8,8,8,8,8,8,8,6,128,190,63,63,63,63,63,63,63,190,128,123,102,111,114,103,101,123,128,8,5
5,5,8,8,8,8,8,8,8,6,6,128,63,63,63,63,63,63,63,63,63,60,63,63,63,63,63,63,63,128,5,5
5,5,8,8,8,8,8,8,8,6,6,128,116,104,101,123,123,105,114,111,110,128,63,63,63,63,125,123,123,128,5,5
5,5,5,8,8,8,8,8,8,6,6,128,63,63,63,63,63,63,63,63,63,128,3,3,63,63,71,71,71,128,5,5
5,5,5,5,5,8,8,8,8,8,6,128,123,123,119,111,114,107,115,123,123,128,3,3,63,63,126,71,71,128,5,5
5,5,5,5,5,5,5,8,8,8,8,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,5,5
